Algorithm,Input,Time
"SlowOrthogonalVector",5100,1.483875
"SlowOrthogonalVector",5100,1.713833
"SlowOrthogonalVector",5100,1.50475
"SlowOrthogonalVector",5400,1.573125
"SlowOrthogonalVector",5400,2.189167
"SlowOrthogonalVector",5400,1.767959
"SlowOrthogonalVector",5700,2.020791
"SlowOrthogonalVector",5700,1.848625
"SlowOrthogonalVector",5700,1.892
"SlowOrthogonalVector",6000,2.041708
"SlowOrthogonalVector",6000,2.192208
"SlowOrthogonalVector",6000,1.863375
"SlowOrthogonalVector",6300,2.254042
"SlowOrthogonalVector",6300,2.658084
"SlowOrthogonalVector",6300,2.871292
"SlowOrthogonalVector",6600,2.220625
"SlowOrthogonalVector",6600,2.586125
"SlowOrthogonalVector",6600,2.499375
"SlowOrthogonalVector",6900,1.605584
"SlowOrthogonalVector",6900,1.762709
"SlowOrthogonalVector",6900,2.049
"SlowOrthogonalVector",7200,2.261042
"SlowOrthogonalVector",7200,1.877709
"SlowOrthogonalVector",7200,2.099209
"SlowOrthogonalVector",7500,2.074667
"SlowOrthogonalVector",7500,2.09825
"SlowOrthogonalVector",7500,1.852167
"SlowOrthogonalVector",7800,2.504541
"SlowOrthogonalVector",7800,2.531542
"SlowOrthogonalVector",7800,2.92625
"SlowOrthogonalVector",8100,2.629458
"SlowOrthogonalVector",8100,2.306
"SlowOrthogonalVector",8100,2.212666
"SlowOrthogonalVector",8400,2.990167
"SlowOrthogonalVector",8400,2.339292
"SlowOrthogonalVector",8400,2.532542
"SlowOrthogonalVector",8700,2.487292
"SlowOrthogonalVector",8700,2.525875
"SlowOrthogonalVector",8700,3.053
"SlowOrthogonalVector",9000,2.658125
"SlowOrthogonalVector",9000,3.600666
"SlowOrthogonalVector",9000,2.897792
